resistance,tolerance
1,5
1.2,5
1.5,5
1.8,5
2,5
2.2,5
2.4,5
2.7,5
3,5
3.3,5
3.6,5
3.9,5
4.3,5
4.7,5
5.1,5
5.6,5
6.2,5
6.8,5
7.5,5
8.2,5
9.1,5
10,5
12,5
15,5
18,5
20,5
22,5
24,5
27,5
30,5
33,5
36,5
39,5
43,5
47,5
51,5
56,5
62,5
68,5
75,5
82,5
91,5
100,5
120,5
150,5
180,5
200,5
220,5
240,5
270,5
280,5
300,5
330,5
360,5
390,5
430,5
470,5
510,5
560,5
620,5
680,5
750,5
820,5
910,5
1000,5
1200,5
1300,5
1500,5
1800,5
2000,5
2200,5
2400,5
2700,5
3000,5
3300,5
3600,5
3900,5
4300,5
4700,5
5100,5
5600,5
6200,5
6800,5
7500,5
8200,5
9100,5
10000,5
12000,5
15000,5
16000,5
18000,5
20000,5
22000,5
24000,5
27000,5
30000,5
33000,5
35000,5
39000,5
43000,5
47000,5
51000,5
56000,5
62000,5
68000,5
75000,5
82000,5
91000,5
100000,5
110000,5
120000,5
150000,5
180000,5
200000,5
220000,5
240000,5
270000,5
300000,5
330000,5
360000,5
390000,5
430000,5
470000,5
510000,5
560000,5
620000,5
680000,5
750000,5
820000,5
910000,5
1000000,5
1200000,5
1500000,5
1800000,5
2000000,5
2200000,5
2700000,5
3000000,5
3300000,5
3900000,5
4700000,5
5600000,5
5800000,5
8200000,5
10000000,5
