capacitance,unit,voltage,tolerance,temp_min,temp_max
0.1,uF,50 V,20,-40,105
0.22,uF,50 V,20,-40,105
0.47,uF,50 V,20,-40,105
1,uF,50 V,20,-40,105
1,uF,63 V,20,-40,105
2.2,uF,50 V,20,-40,105
3.3,uF,50 V,20,-40,105
4.7,uF,50 V,20,-40,105
10,uF,16 V,20,-40,105
10,uF,25 V,20,-40,105
10,uF,50 V,20,-40,105
22,uF,25 V,20,-40,105
22,uF,50 V,20,-40,105
33,uF,25 V,20,-40,105
33,uF,50 V,20,-40,105
47,uF,10 V,20,-40,105
47,uF,16 V,20,-40,105
47,uF,25 V,20,-40,105
47,uF,35 V,20,-40,105
100,uF,6.3 V,20,-40,105
100,uF,10 V,20,-40,105
100,uF,16 V,20,-40,105
100,uF,35 V,20,-40,105
100,uF,50 V,20,-40,105
220,uF,10 V,20,-40,105
220,uF,16 V,20,-40,105
220,uF,25 V,20,-40,105
220,uF,35 V,20,-40,105
330,uF,16 V,20,-40,105
470,uF,10 V,20,-40,105
470,uF,16 V,20,-40,105
470,uF,25 V,20,-40,105
470,uF,50 V,20,-40,105
1000,uF,25 V,20,-40,105
1000,uF,35 V,20,-40,105
2200,uF,16 V,20,-40,105
2200,uF,25 V,20,-40,105
3300,uF,6.3 V,20,-40,105
